Tweet,Class,Polarity,Agreement,Subjectivity,Confidence,Irony,Anger,Joy,Fear,Sadness,Surprise
i remember in 7th grade we used to fight the 8th graders at recess . dem were the days man lol,1,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,12.8418907523,4.59112972021,11.391761899,70.3583717346,0.81684505567
You cannot perform in a manner inconsistent with the way you see yourself. - Zig Ziglar,1,P,AGREEMENT,OBJECTIVE,92,NONIRONIC,54.4435143471,14.5717263222,11.2558908761,19.0533265471,0.675541395321
bpadthai Follow me!,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,18.0778950453,32.8578174114,15.5428975821,17.4078911543,16.1134973168
TayaPYT thanx babe .. Xoxo .. See u in a second,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,2.52195931971,25.0956237316,13.7543827295,14.7974967957,43.8305437565
best taste in music,1,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,6.47040307522,44.1897779703,5.85910603404,6.8614192307,36.6192936897
RT @KarlJCompton: I feel like a banshee today with my hair ugh,1,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,40.3741300106,6.10888749361,22.2065657377,30.5842161179,0.726199056953
What do we live for if it is not to make life less difficult for each other? - George Eliot,1,P,AGREEMENT,OBJECTIVE,92,NONIRONIC,40.4687553644,4.41430732608,16.4106413722,33.3978265524,5.30846752226
@T_H_O_D Aim for the moon. If you miss you may hit a star. William Clement Stone,1,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,3.52933779359,23.5255464911,8.9630164206,46.6511428356,17.3309594393
Venezuela beauty queens protest: While Venezuela beauty queens aid the opposition the president sings a song called Plastic. CNNs...,1,NEU,DISAGREEMENT,OBJECTIVE,94,NONIRONIC,16.3229480386,26.7413198948,18.0396184325,29.4009387493,9.4951748848
RT @ProFootballHOF: Board of Trustees approves master plan to develop a Hall of Fame Village. Details: http://t.co/umDSXYAWm6 http://t.co…,1,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,10.4612752795,12.4870464206,32.7299416065,43.0630028248,1.25873545185
@Prinnysparkles Music should strike fire from the heart of man and bring tears from the eyes of woman. - Ludwig van Beethoven,1,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,9.49639976025,30.2421241999,19.7782307863,37.0571494102,3.42609956861
