Tweet,Class
i remember in 7th grade we used to fight the 8th graders at recess . dem were the days man lol,1
You cannot perform in a manner inconsistent with the way you see yourself. - Zig Ziglar,1
@bpadthai Follow me!,1
@TayaPYT thanx babe .. Xoxo .. See u in a second,1
best taste in music,1
RT @KarlJCompton: I feel like a banshee today with my hair ugh,1
What do we live for if it is not to make life less difficult for each other? - George Eliot,1
@T_H_O_D Aim for the moon. If you miss you may hit a star. William Clement Stone,1
Venezuela beauty queens protest: While Venezuela beauty queens aid the opposition the president sings a song called Plastic. CNN's...,1
RT @ProFootballHOF: Board of Trustees approves master plan to develop a “Hall of Fame Village. Details: http://t.co/umDSXYAWm6 http://t.co…,1
@Prinnysparkles Music should strike fire from the heart of man and bring tears from the eyes of woman. - Ludwig van Beethoven,1
@prachtlamas Danke das werde ich bestimmt in nächster Zeit mal tun. Schönen Abend! :),1
@valdarcala please follow me,1
@cydneypoppins2 Now is the time. Needs are great but your possibilities are greater. - Bill Blackman,1
@biebertherapper We make a living by what we get we make a life by what we give. - Winston Churchill,1
Ended the day in a and note fukk you,1
RT @Metro_TV: Gerald Pangkali: Kita Kembali kepada Kinerja Wasit   http://t.co/Dtr7jIpBor,1
Why do people act like LeBron was the first person to do the powder toss?,1
A leader has the vision and conviction that a dream can be achieved. He inspires the power and energy to get it done. - Ralph Lauren,1
@ngxinyyu Nothing not even sheer ability can make up for the dedication required for a successful business career. - Ray Eppert,1
@NJoshuaDart very cool,1
@liveyoucaique awsome,1
@GarrettArt Whatever advice you give be brief. - Horace,1
What must i do to make you understand...??,1
@M_Gutowsky Mir geht's gut! :) Und bei dir auch alles okay?,1
@kotetu5000 @brave03 リツイート解除じゃなくて連携解除しなさいよwwwww,1
@LaunchBubble nice...,1
A life without love is like a year without summer. - Swedish Proverb,1
one.,1
The time is always right to do what is right. - Martin Luther King Jr.,1
@2200GRAMS Where your talents and the needs of the world cross lies your calling. - Aristotle,1
No logic whatsoever but the music was good good editors. @emafabolous: @ImrKil It SUCKS!,1
Improvement begins with I. - Arnold . Glasgow,1
@CHOCOICE_JINRYU Please follow me,1
Everybody watching drumline???,1
@dmarc_24 Cool page,1
When everything seems to be going against you remember that the airplane takes off against the wind not with it. - Henry Ford,1
@UnlovedTrash T-Trubbish..? Tom floated right above where he hid with a curious look.,1
when you're lonely all you gotta do is call me. you know you're my one and only. come next to me lemme take you on a journey ?,1
RT @JenSelter: Can't sleep,1
I won't reply to you if you send one word texts so don't get mad at me for not replying when you're the one who's one wording me.,1
The more reasons you have for achieving your goal the more determined you will become. - Brian Tracy,1
@gangrenadiario WOW,1
If you have choices choose the best. If you have no choice do the best.,1
@metalinsider you're awesome,1
@Herostrain The superior man is modest in his speech but exceeds in his actions. - Confucius,1
if you loved me you would be here with me...,1
@staticinverona It's simple ... go the extra mile and you will stand out from the crowd. - Robin Crow,1
@Rahmawati765 wow,1
That's the pussy step dad shit I be talking about.... If it wasn't for my mom we would've been threw the hands,1
That's my issue.,1
“@Dammm_sunny: @kiddklassik lol well u gon be whatever I call u lol I got another name but imma Dave that for later lol”,1
LOL habang gumagawa ng project? Nico yan ihh. Haha,1
@Ari_Communism It is a rough road that leads to the heights of greatness. - Seneca,1
?????,1
Shower w music is ??????,1
@keri843 cool page.,1
You know ashton's hair in that keek when he's wearing the pony and in catering again bc i want that fUCKING HAIR AGAIN,1
I met with my wonderful daughter yesterday. She is expecting twins in June and I felt her babes kicking. What a great experience. #proudpapa,1
Top 3 music videos of the year so far:,1
@fucksahara Do not wait for leaders; do it alone person to person. - Mother Teresa,1
@godsangell We will either find a way or make one. - Hannibal,1
Never let other ppl tell you what to think or believe gotta find things out for yourself ya kno.,1
RT @ConanOBrien: Let’s just agree any group of 3 or more handsome British men should be referred to as a “cumberbatch.”,1
@Diana050399 nice!,1
@Enide_Ghost What's wrong with that...? You.. Look really cute..,1
Improve your spare moments and they will become the brightest gems in your life. - Ralph Waldo Emerson,1
@chrizzyjordvn If opportunity doesn't knock build a door. - Milton Berle,1
@BigGhostLtd ahh,1
@PatDhat you're awesome,1
@_FlyBoiErrey Please follow me,1
@OnlyMe_Brianna !,1
why am I awake and why am I in my feelings,1
If we do not plant knowledge when young it will give us no shade when we are old. - Lord Chesterfield,1
RT @NylonMag: How @itsmeleighton is putting @gossipgirl behind her: http://t.co/agh8YPSG9r http://t.co/5NXd14sX41,1
@Cimot_Kepo The question isn't who is going to let me; it's who is going to stop me. - Ayn Rand,1
what i would give to be in portugal right now,1
@heyshaf NICE,1
Just got the email back regarding job #2...,1
Good ting Rap Genius doh cover soca music cuz dey woulda have a hard time decipherin this song #BMT,1
Believe deep down in your heart that you're destined to do great things. - Joe Paterno,1
@NeikoDeBarge awsome,1
@WichoBeatz you're awesome,1
FALAR,1
@Under_5ft You must take action now that will move you towards your goals. Develop a sense of urgency in your life. - Les Brown,1
@Pyfbrown Faith is taking the first step even when you don't see the whole staircase. - Martin Luther King Jr.,1
@iamkmh_sc BI EKTIP PLS~,1
My best song for feb was definitely Nosa's always on my mind,1
@54j33dh4 Believe and act as if it were impossible to fail. - Charles F. Kettering,1
@5secs0fparam0re hi,1
@amirxkhld_ NICE,1
Nothing is more expensive than a missed opportunity. - . Jackson Brown,1
@soal_KPOP He who is not courageous enough to take risks will accomplish nothing in life. - Muhammad Ali,1
@MOHANEDAHMED_ f4f please!,1
@LA_Promoter Ambition has one heel nailed in well though she stretch her fingers to touch the heavens. - Lao Tzu,1
RT @AlAnba_News_KW: بالصور.. تعرف على أفخم الوحدات السكنية في الإمارات  http://t.co/313yVVF0qK,1
@wesnakedd I began learning long ago that those who are happiest are those who do the most for others. - Booker T. Washington,1
When your going through a rough time and you are pushed down to your knees you are in the perfect position to pray...,1
I'm on one of those moods where I really want to listen to music but I can't find the right song. Hhhh.,1
@victoriaxdelrio The less you open your heart to others the more your heart suffers. - Deepak Chopra,1
RT @marktonythought: This Guy Decided To Cheat On His Girlfriend. What She Did About It Is EPIC,1
@Danny_Peru Happiness is found in doing not merely possessing. - Napoleon Hill,1
Man Cakes The Fuk Up,1
@Brad88ford Instinct is untaught ability. - Alexander Bain,1
I aim to high thus I get denied,1
This Old Ass Song.,1
Where the hell is all the fun at and why am I not there,1
@MlNlON Even a mistake may turn out to be the one thing necessary to a worthwhile achievement. - Henry Ford,1
RT @rioferdy5: BIG morning session done in the gym.. Now aboard flight to #Dublin to see you all later at @easons for my #2Sides book signi…,1
@weeshawnaMarie Strength lies in differences not in similarities. - Stephen Covey,1
RT @Penampilanku: Jika anda mengingikan sesuatu yang belum anda miliki maka anda akan harus melakukan sesuatu yg belum pernah anda lakukan,1
Winter always turns into spring. - Nichiren,1
i really like that studio song a lot.,1
@dalyjailene cool,1
Doing your best is more important than being your best. - Shannon Miller,1
Listening to music til I k.o,1
Like if reading off power points is all they're going to do then I'm 100% qualified to be a teacher,1
@believfever wow,1
@Tyalll hi,1
@JustinC27 wow,1
FIND OUT ABOUT THE #SEXY #MONESHAJONES AKA @MO_BUDDA HERE==&gt; http://t.co/3BdoLSq80u #RAPPER #MODEL #BIGGBOYMANAGEMENT,1
#killzoneshadowfall is a gorgeous game worth 39.99 lol #ps4,1
@HellaDankRec You must not only aim right but draw the bow with all your might. - Henry David Thoreau,1
@YongeGrove Anyone who angers you conquers you. - Elizabeth Kenny,1
@STAR_SO_SILLY People rarely succeed unless they have fun in what they are doing. - Dale Carnegie,1
Never has it felt so good to lie down,1
@nicholasjtait Give your dreams all you've got and you'll be amazed at the energy that comes out of you. - William James,1
Remember happiness doesn't depend upon who you are or what you have; it depends solely on what you think. - Dale Carnegie,1
West coast team tournament here we goooooooooooooo,1
*Dad walks out and looks at my Jeep*,1
@grussell903 amazing,1
@ravithambip cool,1
@Willgmusic very cool,1
Jay must have been in love more with the girl he sang about on Song Cry than he is with B now.,1
@Homebwoi Remember that not getting what you want is sometimes a wonderful stroke of luck. - Dalai Lama,1
@http_indie Cleverness is not wisdom. - Euripides,1
I put my heart and my soul into my work and have lost my mind in the process. - Vincent Van Gogh,1
A person can succeed at anything for which there is enthusiasm. - Charles M. Schwab,1
We have a right to do what we want.,1
Do not bring me your successes; they weaken me. Bring me your problems; they strengthen me. - Anonymous,1
I love those hugs where you just don't want to let go.,1
@JairWoo very cool,1
You could see a homeless lightskin and she'll still be classy.,1
I am the greatest I said that even before I knew I was. - Muhammad Ali,1
@aggregate_music Wishing to be friends is quick work but friendship is a slow ripening fruit. - Aristotle,1
@REVERBPROM0 You can't turn back the clock. But you can wind it up again. - Bonnie Prudden,1
Tyler Joseph is the best song writer I've ever heard I love him so much,1
@_J_Fry Check out my Jack Move Music Video  love me later coming soon !!!!  http://t.co/sh9Xt3YFtR,1
D�jame poner Music ^.^,1
@weedfact Good instincts tell you what to do long before your head has figured it out. - Michael Burke,1
What jean brand do you all think is the best right now? #bizitalk #deals #fashion #quiz #jeans #duggar #retail #resale #ebay #holiness,1
The ladybugs still kicking it with me. So sad to watch them die. I feel special they wanna spend their… http://t.co/6qy8dF0TrC,1
In need of a massage.,1
I swear Arion know every song ever made!!??,1
@MajorMusicPub hi,1
I am so annoyed 5sos are opening for the boys go live your own dream and stop being in the background of others cause that'll get u no where,1
love u “@LalobarRo: @EmilyCrimaldi I'll be a honor to teach you Spanish :)”,1
Must see this funny chic on NZ X-Factor like the best ever to be seen,1
ik wil wel den haag maar ik snap het best als ik niet mag want ja het is best duur en ik mag al 27 april,1
@vherbal !,1
Nu op Q-music: Counting Crows - Accidentally In Love,1
One always has time enough if one will apply it well. - Johann Wolfgang von Goethe,1
Anything's possible if you've got enough nerve. - J.K. Rowling,1
@bcbmusicblog Go confidently in the direction of your dreams. Live the life you have imagined. - Henry David Thoreau,1
Hold my breath till my face turns purple,1
@_L_ILY_ hey,1
I feel lonely but at the same time I don't want anyone to be with me..,1
When you wake up feeling like you've justified you're stress levels with the right amount of sleep ??,1
My name is heather and I am addicted to snapchat.,1
Hate when jayla ole beggin ass be jumpin in my convo's and shit,1
@MyWedding_App oh,1
If I didn't have Celtic folk music and epic Pagan dance music I would be so low and depressed all the time.,1
Ice doesn't help the uncoordinated is an ironic song to play this morning xD,1
@_Lexrodriguez Don't worry about the world coming to an end today. It's already tomorrow in Australia. - Charles Schulz,1
@mr_bradenHD Promise yourself to be so strong that nothing can disturb your peace of mind. - Christian Larson,1
@MagicBlueberry ookkkk,1
@Kuryluna FOLLOW MEEEE,1
Gues whos coming to dinner tonight u gone be apart of my meal tonight move ya body baby i want a bite treat u cold over lets get it tonight,1
Summer has come and passed The innocent can never last wake me up when september ends ??,1
@erinbollmusic Believe that life is worth living and your belief will help create the fact. - William James,1
@WhoaLando very cool,1
If your shoes are entirely covered in glitter it's time for you to take it down a couple notches,1
SUBSCRIBE TO #BIGGBOYMANAGEMENT #YOUTUBE ==&gt; http://t.co/EITS5cFKVx #ROCK #RNB #HIPHOP #SOUL #GOTMANAGEMENT #LETSNETWORK,1
If Vegas cops were like Cali cops??,1
Keep us close to You~,1
@sid_bootie followed you,1
After 3 months h&amp;m finally paid me LOL,1
But someone just talk to me please,1
Having to make an A or B choice sucks.,1
He singed up for music not for people/media to make a reality show about his life. They judge for every little mistake he makes but I...,1
@djsevag Remember happiness doesn't depend upon who you are or what you have; it depends solely on what you think. - Dale Carnegie,1
Petite clope aux hurlevents #cal� #music !!,1
lol don't talk to me.,1
what if the times at the bottom of the pic are like the lengths of all the member�s parts on the new album has http://t.co/XBa5PRTw9P,1
I don't condone trt but poor vitor is getting a flogging. Surely he is not the only dude on trt or to 'abuse' it.,1
@_ShawtyB_Easy Please follow me,1
What the fuck? Why do you need 10 pumps of soap for? Stupid fucker.,1
Saturdays are deffo the best day of the week,1
Home is where the heart is,1
@sbhtzt215 Heeeeeeeeeeeeeeeyyyyyyyyyyyyyy,1
Where you at,1
RT @HitsABIunt: *hits blunt*Why is gasoline a liquid and not a gas? http://t.co/VRjTY10C5I,1
Where is babe at ??,1
When It Comes Our School Pep Rally I Always Look Forward To The Dancers Perform. They Was Killing The Nae Nae Though.,1
@Blomquisite cool,1
Ecclesiastes 3:12,1
Imma mule kick you in the face if you think Bout to let an hour ago.,1
http://t.co/i9eonnrhr7  http://t.co/GsTrIVNHOC !!!,1
@harbarhyormie Conquer your bad habits or they will conquer you. - Rob Gilbert,1
@CashRichville Only those who attempt the absurd...will achieve the impossible. - M.C. Escher,1
For me to be a nobody I sure garner a lot of attention from you hoes “I don't care what you think about me. I... http://t.co/QtNwIWteFI,1
